2022-01-04,webpage,shortName,totalDebt,totalRevenue,totalCash,debtToEquity,revenueGrowth,operatingMargins,beta,currency,regularMarketPrice,sharesOutstanding,marketCap,industry,sector,country,longBusinessSummary,marketDebtToEquity,betaTax,unleveredBeta
CUBI,quote_summary,"Customers Bancorp, Inc",455144992.0,718577984.0,1086288000.0,,0.9470000000000001,0.56694,1.595844,USD,67.0,32412400,2171630848.0,Banks—Regional,Financial Services,United States,"Customers Bancorp, Inc. operates as the bank holding company for Customers Bank that provides financial products and services to individual consumers, and small and middle market businesses. It operates in two segments, Customers Bank Business Banking and BankMobile. The company accepts various deposit products, such as checking, savings, money market deposit, time deposit, non-interest-bearing demand accounts, individual retirement accounts, and other deposit accounts, as well as non-retail time deposits. It also provides commercial and industrial lending services; small business administration and paycheck protection program loans; multi-family and commercial real estate loans; commercial loans to mortgage companies; equipment financing services and specialty lending; mortgage warehouse loans; and home equity and residential mortgage and installment loans. In addition, the company offers private banking services; mobile phone banking, internet banking, wire transfers, electronic bill payment, lock box, remote deposit capture, courier, merchant processing, cash vault, controlled disbursements, and positive pay services; and cash management services, such as account reconciliation, collections, and sweep accounts. It operates 12 full-service branches, as well as limited production and administrative offices in Southeastern Pennsylvania, including Bucks, Berks, Chester, Philadelphia, and Delaware Counties; Rye Brook and New York; Hamilton, New Jersey; Boston, Massachusetts; Providence, Rhode Island; Portsmouth, New Hampshire; Manhattan and Melville, New York; Washington D.C.; and Chicago, Illinois. Customers Bancorp, Inc. was founded in 1997 and is headquartered in West Reading, Pennsylvania.",0.20958672254042324,0.24,1.3765749996880638
VCYT,quote_summary,"Veracyte, Inc.",18776000.0,186714000.0,168128992.0,1.696,0.94,-0.16702999,0.811948,USD,42.51,71043104,3020042240.0,Biotechnology,Healthcare,United States,"Veracyte, Inc. operates as a genomic diagnostics company in the United States and internationally. The company offers Afirma Genomic Sequencing Classifier and Xpression Atlas, which are used to identify patients with benign thyroid nodules among those with indeterminate cytopathology results in order to rule out unnecessary thyroid surgery; Percepta Genomic Sequencing Classifier for lung cancer diagnosis; Envisia Genomic Classifier that help physicians to differentiate idiopathic pulmonary fibrosis from other interstitial lung diseases without the need for surgery; and Prosigna Breast Cancer Prognostic Gene Signature Assay test that informs next steps for patients with early-stage breast cancer, as well as provides cancer subtype classification information. It is also developing nasal swab test for early lung cancer detection; Percepta Genomic Atlas for genomic profiling information on small samples of the tumor biopsy; Envisia Classifier, the nCounter analysis system; and LymphMark for lymphoma subtyping test. Veracyte, Inc. has biopharmaceutical collaborations with Johnson & Johnson; Acerta Pharma; Loxo Oncology, Inc.; and Bayer AG. The company was formerly known as Calderome, Inc. and changed its name to Veracyte, Inc. in March 2008. Veracyte, Inc. was incorporated in 2006 and is headquartered in South San Francisco, California.",0.006217131585550274,0.24,0.8081295716075078
ARES,quote_summary,Ares Management Corporation,11728017408.0,3559939072.0,1877145984.0,252.804,0.937,0.20670999999999998,1.064935,USD,79.19,167614000,13549647872.0,Asset Management,Financial Services,United States,"Ares Management Corporation operates as an alternative asset manager in the United States, Europe, and Asia. The company's Tradable Credit Group segment manages various types of investment funds, such as commingled and separately managed accounts for institutional investors, and publicly traded vehicles and sub-advised funds for retail investors in the tradable and non-investment grade corporate credit markets. Its Direct Lending Group segment provides financing solutions to small-to-medium sized companies. The company's Private Equity Group segment focuses on majority or shared-control investments primarily in under-capitalized companies. Its Real Estate Group segment invests in new developments and the repositioning of assets, with a focus on control or majority-control investments; and originates and invests in a range of self-originated financing opportunities for middle-market owners and operators of commercial real estate. The firm was previously known as Ares Management, L.P. Ares Management Corporation was founded in 1997 and is headquartered in Los Angeles, California with additional offices in the United States, Europe and Asia. Ares Management GP LLC is the general partner of the company.",0.8655588336163073,0.24,0.6423688772986273
ATKR,quote_summary,Atkore Inc.,800406976.0,2928014080.0,576289024.0,92.561,0.935,0.27367002,2.4368830000000004,USD,110.44,46351600,5119070720.0,Electrical Equipment & Parts,Industrials,United States,"Atkore Inc. manufactures and sells electrical, safety, and infrastructure products in the United States and internationally. The company offers electrical products, including conduits cables, and installation accessories. It also provides safety and infrastructure solutions, such as metal framing, mechanical pipe, perimeter security, and cable management. The company offers its products under the Allied Tube & Conduit, AFC Cable Systems, Kaf-Tech, Heritage Plastics, Unistrut, Power-Strut, Cope, US Tray, FRE Composites, Calbond, and Calpipe brands. It serves a group of end markets, including new construction; maintenance, repair, and remodel, as well as infrastructure; diversified industrials; alternative power generation; healthcare; data centers; and government through electrical, industrial, and mechanical contractors, as well as original equipment manufacturers. The company was formerly known as Atkore International Group Inc. and changed its name to Atkore Inc. in February 2021. Atkore Inc. was founded in 1959 and is headquartered in Harvey, Illinois.",0.15635786645276117,0.24,2.1780598399217754
CDEV,quote_summary,Centennial Resource Development,1023148032.0,861550016.0,4985000.0,39.586,0.935,-0.035,6.120519,USD,6.45,284092000,1832393344.0,Oil & Gas E&P,Energy,United States,"Centennial Resource Development, Inc., an independent oil and natural gas company, focuses on the development of unconventional oil and associated liquids-rich natural gas reserves in the United States. The company's assets primarily focus on the Delaware Basin, a sub-basin of the Permian Basin. Its properties consist of acreage blocks primarily in Reeves County in West Texas and Lea County in New Mexico. As of December 31, 2020, it leased or acquired approximately 81,657 net acres; and owned 1,472 net mineral acres in the Delaware Basin. The company was formerly known as Silver Run Acquisition Corporation and changed its name to Centennial Resource Development, Inc. in October 2016. Centennial Resource Development, Inc. was incorporated in 2015 and is headquartered in Denver, Colorado.",0.5583670314838254,0.24,
CCRN,quote_summary,"Cross Country Healthcare, Inc.",118733000.0,1251579008.0,842000.0,54.766000000000005,0.9329999999999999,0.060289998,1.016623,USD,27.8,38003700,1056502848.0,Medical Care Facilities,Healthcare,United States,"Cross Country Healthcare, Inc. provides talent management and other consultative services for healthcare clients in the United States. The company operates in three segments: Nurse and Allied Staffing, Physician Staffing, and Search. The Nurse and Allied Staffing segment offers traditional staffing, including temporary and permanent placement of travel nurses and allied professionals, branch-based local nurses, and allied staffing; short-term staffing of registered nurses, licensed practical nurses, certified nurse assistants, practitioners, pharmacists, and other allied professionals on per diem and short-term assignments; and travel allied professionals on long-term contract assignments, as well as workforce solutions, including MSP, OWS, RPO, IRP, EMR, and consulting services. It serves public and private acute care and non-acute care hospitals, government facilities, public and charter schools, outpatient clinics, ambulatory care facilities, physician practice groups, retailers, and other healthcare providers under the Cross Country brand. The Physician Staffing segment provides physicians in various specialties, certified registered nurse anesthetists, nurse practitioners, and physician assistants under the Cross Country Locums brand as independent contractors on temporary assignments at various healthcare facilities, such as acute and non-acute care facilities, medical group practices, government facilities, and managed care organizations. The Search segment offers retained and contingent search services for physicians, healthcare executives, and other healthcare professionals, as well as recruitment process outsourcing. The company was founded in 1986 and is headquartered in Boca Raton, Florida.",0.11238303827080644,0.24,0.9366248341204563
HLT,quote_summary,Hilton Worldwide Holdings Inc.,9731999744.0,2054000000.0,1288000000.0,,0.93,0.37925997,1.234805,USD,154.48,278721984,43056971776.0,Lodging,Consumer Cyclical,United States,"Hilton Worldwide Holdings Inc., a hospitality company, owns, leases, manages, develops, and franchises hotels and resorts. It operates through two segments, Management and Franchise, and Ownership. The company engages in the hotel management and licensing of its brands. It operates hotels under the Waldorf Astoria Hotels & Resorts, LXR Hotels & Resorts, Conrad Hotels & Resorts, Canopy by Hilton, Tempo by Hilton, Motto by Hilton, Signia by Hilton, Hilton Hotels & Resorts, Curio Collection by Hilton, DoubleTree by Hilton, Tapestry Collection by Hilton, Embassy Suites by Hilton, Hilton Garden Inn, Hampton by Hilton, Tru by Hilton, Homewood Suites by Hilton, Home2 Suites by Hilton, and Hilton Grand Vacations. The company operates in North America, South America, and Central America, including various Caribbean nations; Europe, the Middle East, and Africa; and the Asia Pacific. As of December 31, 2020, the company had approximately 6,478 properties with 1,019,287 rooms in 119 countries and territories. Hilton Worldwide Holdings Inc. was founded in 1919 and is headquartered in McLean, Virginia.",0.2260261077957328,0.24,1.0537858357178413
WHD,quote_summary,"Cactus, Inc. Class A Common Sto",32816000.0,376763008.0,301974016.0,5.6610000000000005,0.93,0.15431,2.343467,USD,40.87,59000000,2411330048.0,Oil & Gas Equipment & Services,Energy,United States,"Cactus, Inc. designs, manufactures, sells, and rents a range of wellheads and pressure control equipment in the United States. The company's principal products include Cactus SafeDrill wellhead systems, Cactus SafeLink monobore, SafeClamp, and SafeInject systems, as well as frac stacks, zipper manifolds, and production trees. It also provides mission-critical field services, such as 24-hour service crews to assist with the installation, maintenance, repair, and safe handling of the wellhead and pressure control equipment; and repair and refurbishment services. The company sells or rents its products for onshore unconventional oil and gas wells that are utilized during the drilling, completion, and production phases of its customers' wells. It operates 14 service centers in the United States, as well as 3 service centers in Eastern Australia. Cactus, Inc. was founded in 2011 and is headquartered in Houston, Texas.",0.013609086830406387,0.24,2.319476868797476
VLO,quote_summary,Valero Energy Corporation,14232999936.0,89219997696.0,3497999872.0,76.567,0.929,0.00186,2.08987,USD,77.14,408836000,31537608704.0,Oil & Gas Refining & Marketing,Energy,United States,"Valero Energy Corporation manufactures, markets, and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Renewable Diesel, and Ethanol. The company is involved in oil and gas refining, marketing, and bulk selling activities. It produces conventional, premium, and reformulated gasolines; gasoline meeting the specifications of the California Air Resources Board (CARB); diesel fuels, low-sulfur and ultra-low-sulfur diesel fuels; CARB diesel; other distillates; jet fuels; blendstocks; lube oils and natural gas liquids; and asphalts, petrochemicals, lubricants, and other refined petroleum products. As of December 31, 2020, the company owned 15 petroleum refineries with a combined throughput capacity of approximately 3.2 million barrels per day. It sells its refined products through wholesale rack and bulk markets; and through approximately 7,000 outlets under the Valero, Beacon, Diamond Shamrock, Shamrock, Ultramar, and Texaco brands. The company also produces and sells ethanol, dry distiller grains, syrup, and inedible corn oil primarily to refiners and gasoline blenders, as well as to animal feed customers. It owns and operates 13 ethanol plants with a combined ethanol production capacity of approximately 1.69 billion gallons per year. In addition, the company owns and operates crude oil and refined petroleum products pipelines, terminals, tanks, marine docks, truck rack bays, and other logistics assets. Further, it owns and operates a plant that processes animal fats, used cooking oils, and other vegetable oils into renewable diesel. The company was formerly known as Valero Refining and Marketing Company and changed its name to Valero Energy Corporation in August 1997. Valero Energy Corporation was founded in 1980 and is headquartered in San Antonio, Texas.",0.45130244558442983,0.24,1.5561323762413635
SITM,quote_summary,SiTime Corporation,7767000.0,183340992.0,267042000.0,2.3819999999999997,0.929,0.07493,0.834658,USD,294.94,20554000,6062196736.0,Semiconductors,Technology,United States,"SiTime Corporation provides silicon timing systems in Taiwan, Hong Kong, the United States, and internationally. It provides resonators and clock integrated circuits, and various types of oscillators. The company's solutions are used in various markets, including enterprise and telecommunications infrastructure, automotive, industrial, Internet of Things, mobile, and aerospace and defense. It offers its products through distributors and resellers. The company was incorporated in 2003 and is headquartered in Santa Clara, California. SiTime Corporation was formerly a subsidiary of MegaChips Corporation.",0.0012812187294873039,0.24,0.8338460622137628
CLDT,quote_summary,Chatham Lodging Trust (REIT),566532992.0,171135008.0,18621000.0,68.544,0.9279999999999999,-0.16483,1.9485709999999998,USD,13.7,48768200,668124352.0,REIT—Hotel & Motel,Real Estate,United States,"Chatham Lodging Trust is a self-advised, publicly traded real estate investment trust focused primarily on investing in upscale, extended-stay hotels and premium-branded, select-service hotels. At September, 30, 2020, The company owns interests in 86 hotels totaling 12,040 rooms/suites, comprised of 40 properties it wholly owns with an aggregate of 6,092 rooms/suites in 15 states and the District of Columbia and a minority investment in the Innkeepers joint ventures that owns 46 hotels with an aggregate of 5,948 rooms/suites.",0.847945431571397,0.24,1.1849460875723288
CTRA,quote_summary,Coterra Energy Inc.,977358016.0,1939540992.0,76270000.0,42.016999999999996,0.925,0.27679002,-0.11688299999999999,USD,19.57,813577984,15921721344.0,Oil & Gas E&P,Energy,United States,"Coterra Energy Inc., an independent oil and gas company, explores for, exploits, develops, produces, and markets oil and gas properties in the United States. It primarily focuses on the Marcellus Shale with approximately 175,000 net acres in the dry gas window of the play located in Susquehanna County, Pennsylvania. The company sells its natural gas to industrial customers, local distribution companies, gas marketers, and power generation facilities through gathering systems and pipelines. As of December 31, 2020, it had proved reserves of approximately 13,672 billion cubic feet of gas; and 15 thousand barrels of oil or other liquid hydrocarbons. Coterra Energy Inc. was incorporated in 1989 and is headquartered in Houston, Texas.",0.06138519792448894,0.24,
TTGT,quote_summary,"TechTarget, Inc.",221983008.0,232351008.0,104468000.0,106.456,0.924,0.14278,0.8909090000000001,USD,96.91,28819700,2792917248.0,Internet Content & Information,Communication Services,United States,"TechTarget, Inc., together with its subsidiaries, provides marketing and sales services that deliver business impact for enterprise technology companies in North America and internationally. It also provides purchase-intent marketing and sales services for enterprise technology vendors; and customized marketing programs that integrate demand generation and brand advertising techniques. The company offers online services, including IT Deal Alert, including priority engine, qualified sales opportunities, deal data services; demand solutions, such as white papers, webcasts, podcasts, videocasts, virtual trade shows, and content sponsorships; brand solutions comprise on-network, off-network, and microsites and related formats branding; and custom content creation. It also operates an integrated content platform that consists of a network of approximately 140 websites that focus on a specific IT sector, such as storage, security, networking, or business applications. In addition, the company enables registered members to conduct their pre-purchase research by accessing vendor supplied content through a websites network. TechTarget, Inc. was incorporated in 1999 and is headquartered in Newton, Massachusetts.",0.07948069645062394,0.24,0.8401589235561769
FREE,quote_summary,"Whole Earth Brands, Inc.",413406016.0,436947008.0,33579000.0,131.85399999999998,0.924,0.0849,0.353171,USD,10.81,38477500,415941792.0,Packaged Foods,Consumer Defensive,United States,"Whole Earth Brands, Inc. operates as a food company worldwide. It operates in two segments, Branded CPG and Flavors & Ingredients. The Branded CPG segment focuses on building a branded portfolio serving consumers seeking zero-calorie, low-calorie, natural, no-sugar added, and plant-based products. The Branded CPG segment sells products under the Whole Earth, Pure Via, Swerve, Canderel, and Equal brands. This segment offers various sweetener formulations under each brand to address local consumer preferences and price points. The Flavors & Ingredients segment provides flavoring enhancement, flavor/aftertaste masking, moisturizing, product mouth feel modification, and skin soothing characteristics. This segment also offers licorice-derived products for use in confectionary, food, beverage, cosmetic, pharmaceutical, personal care, and tobacco products applications. The company is based in Chicago, Illinois.",0.9939035315787648,0.24,0.2011950000072053
LVS,quote_summary,Las Vegas Sands Corp.,14535000064.0,4912999936.0,1644000000.0,598.394,0.922,-0.18909,1.486233,USD,38.85,763990016,29681010688.0,Resorts & Casinos,Consumer Cyclical,United States,"Las Vegas Sands Corp., together with its subsidiaries, develops, owns, and operates integrated resorts in Asia and the United States. It owns and operates The Venetian Macao Resort Hotel, the Londoner Macao, The Parisian Macao, The Plaza Macao and Four Seasons Hotel Macao, Cotai Strip, and the Sands Macao in Macao, the People's Republic of China; and Marina Bay Sands in Singapore. The company also owns and operates The Venetian Resort Hotel Casino on the Las Vegas Strip; and the Sands Expo and Convention Center in Las Vegas, Nevada. Its integrated resorts feature accommodations, gaming, entertainment and retail malls, convention and exhibition facilities, celebrity chef restaurants, and other amenities. Las Vegas Sands Corp. was founded in 1988 and is based in Las Vegas, Nevada.",0.4897070459220071,0.24,1.0831201919284887
LC,quote_summary,LendingClub Corporation,638412992.0,581588992.0,862150976.0,79.327,0.919,0.12507000000000001,2.128311,USD,25.01,99872896,2497821184.0,Credit Services,Financial Services,United States,"LendingClub Corporation, operates as a bank holding company for LendingClub Bank, National Association that provides range of financial products and services through a technology-driven platform in the United States. The company provides commercial and industrial, commercial real estate, small business, and equipment loans, as well as leases equipment; and unsecured personal and auto, patient finance, and education finance loans. It also operates an online lending marketplace platform that connects borrowers and investors. The company was incorporated in 2006 and is headquartered in San Francisco, California.",0.2555879484445913,0.24,1.7821365962688327
CRGY,quote_summary,Crescent Energy Company,765531008.0,1265971968.0,63541000.0,35.133,0.919,0.20210999999999998,,USD,13.45,43099100,579682880.0,Oil & Gas E&P,Energy,United States,"Crescent Energy Company operates as an independent energy company. It holds a portfolio of oil and gas assets in key proven basins across the lower 48 states in the United States. The company was founded in 2020 and is based in Houston, Texas.",1.3206030994049711,0.24,
BX,quote_summary,Blackstone Inc.,8518238208.0,20247191552.0,5093449216.0,40.8,0.917,0.58499,1.3916879999999998,USD,126.63,683153024,90022535168.0,Asset Management,Financial Services,United States,"Blackstone (China) Equity Investment Fund specializes in growth investments in alternative energy, environmental, and medical sectors. The fund prefers to invest in China primarily in Beijing, Hong Kong, and Shangai with a focus on the Pudong Area. Blackstone Inc. is an alternative asset management firm specializing in real estate, private equity, hedge fund solutions, credit, secondary funds of funds, public debt and equity and multi-asset class strategies. The firm typically invests in early-stage companies. It also provide capital markets services. The real estate segment specializes in opportunistic, core+ investments as well as debt investment opportunities collateralized by commercial real estate, and stabilized income-oriented commercial real estate across North America, Europe and Asia. The firm's corporate private equity business pursues transactions throughout the world across a variety of transaction types, including large buyouts,special situations, distressed mortgage loans,growth investments, mid-cap buyouts, buy and build platforms, which involves multiple acquisitions behind a single management team and platform, and growth equity/development projects involving significant majority stakes in portfolio companies and minority investments in operating companies, shipping, real estate, corporate or consumer loans, and environmental, medical sectors alternative energy greenfield development projects in energy and power, property, dislocated markets, shipping opportunities, financial institution breakups, re-insurance, and improving freight mobility, financial services, healthcare, life sciences, enterprise tech and consumer, as well as consumer technologies. The fund considers investment in China primarily in Beijing, Hong Kong, Shangai with a focus on the Pudong Area, Asia and Latin America. It has a three year investment period. Its hedge fund business manages a broad range of commingled and customized fund solutions and its credit business focuses on loans, and securities of non-investment grade companies spread across the capital structure including senior debt, subordinated debt, preferred stock and common equity. Blackstone Inc. was founded in 1985 and is headquartered in New York, New York with additional offices across Asia, Europe and North America.",0.09462339837578745,0.24,1.2983208373432475
VAC,quote_summary,Marriott Vacations Worldwide Co,4648000000.0,2435000064.0,448000000.0,154.727,0.914,0.13305999999999998,2.353246,USD,170.3,42595100,7253945856.0,Resorts & Casinos,Consumer Cyclical,United States,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells, and manages vacation ownership and related products. It operates through two segments, Vacation Ownership and Exchange & Third-Party Management. The company manages vacation ownership and related products under the Marriott Vacation Club, Grand Residences by Marriott, Sheraton Vacation Club, Westin Vacation Club, Hyatt Residence Club, and Marriott Vacation Club Pulse brands. It also develops, markets, and sells vacation ownership and related products under The Ritz-Carlton Destination Club brand; and holds right to develop, market, and sell ownership residential products under The Ritz-Carlton Residences brand. As of December 31, 2020, the company operated approximately 100 properties in the United States and 12 other countries and territories. The company sells its upscale tier vacation ownership products primarily through a network of resort-based sales centers and off-site sales locations. Marriott Vacations Worldwide Corporation was founded in 1984 and is headquartered in Orlando, Florida.",0.6407547136784143,0.24,1.582574181451693
OM,quote_summary,"Outset Medical, Inc.",38048000.0,91697000.0,373043008.0,9.286,0.9129999999999999,-1.32322,,USD,47.24,47094300,2224734720.0,Medical Devices,Healthcare,United States,"Outset Medical, Inc., a medical technology company, develops a hemodialysis system for dialysis. It offers Tablo Hemodialysis System, which comprises of a compact console with integrated water purification, on-demand dialysate production, and software and connectivity capabilities for dialysis care in acute and home settings. The company was formerly known as Home Dialysis Plus, Ltd. and changed its name to Outset Medical, Inc. in January 2015. Outset Medical, Inc. was incorporated in 2003 and is headquartered in San Jose, California.",0.017102263770127163,0.24,
RICK,quote_summary,"RCI Hospitality Holdings, Inc.",151098000.0,195258000.0,35686000.0,84.307,0.909,0.26584,1.971428,USD,80.11,9499910,761037824.0,Restaurants,Consumer Cyclical,United States,"RCI Hospitality Holdings, Inc., through its subsidiaries, engages in the hospitality and related businesses in the United States. The company operates through Nightclubs, Bombshells, and Other segments. It owns and/or operates upscale adult nightclubs serving primarily businessmen and professionals under the Rick's Cabaret, Jaguars Club, Tootsie's Cabaret, XTC Cabaret, Club Onyx, Hoops Cabaret and Sports Bar, Scarlett's Cabaret, Temptations Adult Cabaret, Foxy's Cabaret, Vivid Cabaret, Downtown Cabaret, Cabaret East, The Seville, Silver City Cabaret, and Kappa Men's Club. The company also operates restaurants and sports bars under the Bombshells Restaurant & Bar brand, as well as a dance club under the Studio 80 brand. In addition, it owns two national industry trade publications serving the adult nightclubs industry and the adult retail products industry; a national industry convention and tradeshow; and two national industry award shows, as well as approximately a dozen industry and social media Websites. Further, RCI Hospitality Holdings, Inc. holds license to sell Robust Energy Drink in the United States. The company was formerly known as Rick's Cabaret International, Inc. and changed its name to RCI Hospitality Holdings, Inc. in August 2014. RCI Hospitality Holdings, Inc. was founded in 1983 and is based in Houston, Texas.",0.19854203724833525,0.24,1.7129566358484514
CHEF,quote_summary,"The Chefs' Warehouse, Inc.",527366016.0,1469180032.0,134217000.0,155.535,0.907,-0.01684,2.296623,USD,34.5,37884200,1307004928.0,Food Distribution,Consumer Defensive,United States,"The Chefs' Warehouse, Inc., together with its subsidiaries, distributes specialty food products in the United States and Canada. Its product portfolio includes approximately 55,000 stock-keeping units comprising specialty food products, such as artisan charcuterie, specialty cheeses, unique oils and vinegars, truffles, caviar, chocolate, and pastry products. The company also offers a line of center-of-the-plate products, including custom cut beef, seafood, and hormone-free poultry, as well as food products, such as cooking oils, butter, eggs, milk, and flour. It serves menu-driven independent restaurants, fine dining establishments, country clubs, hotels, caterers, culinary schools, bakeries, patisseries, chocolatiers, cruise lines, casinos, and specialty food stores. The company markets its center-of-the-plate products directly to consumers through a mail and e-commerce platform. The Chefs' Warehouse, Inc. was founded in 1985 and is headquartered in Ridgefield, Connecticut.",0.40349198744566633,0.24,1.7576368016177752
NOTV,quote_summary,"Inotiv, Inc.",174190000.0,89605000.0,138924000.0,165.69299999999998,0.907,-0.04871,2.13922,USD,40.41,24266100,980593088.0,Diagnostics & Research,Healthcare,United States,"Inotiv, Inc. provides drug discovery and development services to the pharmaceutical, chemical, and medical device industries; and sells analytical instruments to the pharmaceutical development and contract research industries. It operates through two segments, Contract Research Services and Research Products. The Contract Research Services segment offers screening and pharmacological testing, nonclinical safety testing, formulation development, regulatory compliance, and quality control testing services. This segment provides analytical method development and validation; drug metabolism, bioanalysis, and pharmacokinetics testing to identify and measure drug and metabolite concentrations in complex biological matrices; in vivo sampling services for the continuous monitoring of chemical changes in life; stability testing to ensure the integrity of various solutions used in nonclinical and clinical studies, and post-study analyses; non-clinical toxicology and pathology services; and climate-controlled archiving services for its customers' data and samples. The Research Products segment designs, develops, manufactures, and markets in vivo sampling systems and accessories, including disposables, training, and systems qualification; physiology monitoring tools; liquid chromatography and electrochemistry instruments platforms; analytical products comprising liquid chromatographic and electrochemical instruments with associated accessories; and in vivo sampling products consisting of Culex family of automated in vivo sampling and dosing instruments. The company operates in the United States, rest of North America, the Pacific Rim, Europe, and internationally. It has an agreement with BioVaxys to conduct preclinical toxicity studies for its Covid-T Immunodiagnostic program. The company was formerly known as Bioanalytical Systems, Inc. and changed its name to Inotiv, Inc. in March 2021. Inotiv, Inc. was founded in 1974 and is headquartered in West Lafayette, Indiana.",0.17763739325888456,0.24,1.8847679924603828
CPE,quote_summary,Callon Petroleum Company,2809609984.0,1647654016.0,3699000.0,301.128,0.905,0.06691,3.015584,USD,51.73,61362800,3174297600.0,Oil & Gas E&P,Energy,United States,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in Permian Basin in West Texas. As of December 31, 2020, its estimated net proved reserves totaled approximately 475.9 million barrel of oil equivalent, including 289.5 MMBbls oil, 541.6 Bcf of natural gas, and 96.1 MMBbls of natural gas liquids. The company was founded in 1950 and is headquartered in Houston, Texas.",0.8851123423336237,0.24,1.8028399337639396
VRAY,quote_summary,"ViewRay, Inc.",68347000.0,68189000.0,149900000.0,58.045,0.9009999999999999,-1.46345,0.8041550000000001,USD,5.83,177242000,1033320832.0,Medical Devices,Healthcare,United States,"ViewRay, Inc. designs, manufactures, and markets radiation therapy systems. The company offers MRIdian, a magnetic resonance image guided radiation therapy system to image and treat cancer patients. Its MRIdian integrates MRI technology, radiation delivery, and proprietary software to see the soft tissues, shape the dose to accommodate for changes in anatomy, and strike the target using real-time targeting throughout the treatment. The company serves university research and teaching hospitals, community hospitals, private practices, government institutions, and freestanding cancer centers. ViewRay, Inc. markets its MRIdian through a direct sales force and distribution network. It has operations in the United States, France, Germany, Taiwan, the United Kingdom, and internationally. The company was founded in 2004 and is headquartered in Oakwood, Ohio.",0.06614305826750234,0.24,0.7656659494918803
PARR,quote_summary,"Par Pacific Holdings, Inc. Comm",987163008.0,4132078080.0,201304992.0,389.41,0.899,-0.04632,2.524675,USD,16.99,60191100,1022646784.0,Oil & Gas Refining & Marketing,Energy,United States,"Par Pacific Holdings, Inc. owns and operates energy and infrastructure businesses. The company operates in three segments: Refining, Retail, and Logistics. The Refining segment owns and operates four refineries that produces ultra-low sulfur diesel, gasoline, jet fuel, marine fuel, distillate, asphalt, low sulfur fuel oil, and other associated refined products primarily for consumption in Hawaii, Pacific Northwest, Wyoming, and South Dakota. The Retail segment operates 123 fuel retail outlets, which sell merchandise, such as soft drinks, prepared foods, and other sundries in Hawaii under the Hele, 76, and nomnom brands; and gasoline, diesel, and retail merchandise in Washington and Idaho under the Cenex, nomnom, and Zip Trip brand names. The Logistics segment owns and operates terminals, pipelines, a single-point mooring, and trucking operations to distribute refined products throughout the island of Oahu, Maui, Hawaii, Molokai, and Kauai. It also leases marine vessels; owns and operates a crude oil pipeline gathering system, a refined products pipeline, storage facilities, and loading racks in Wyoming; and a jet fuel storage facility and pipeline that serves Ellsworth Air Force Base in South Dakota. In addition, this segment owns and operates a marine terminal, a unit train-capable rail loading terminal, storage facilities, a truck rack, and a proprietary pipeline that serves Joint Base Lewis McChord. The company was formerly known as Par Petroleum Corporation and changed its name to Par Pacific Holdings, Inc. in October 2015. Par Pacific Holdings, Inc. was founded in 1984 and is headquartered in Houston, Texas.",0.9653020216215729,0.24,1.4562944083171785
PSX,quote_summary,Phillips 66,16138999808.0,95333998592.0,2896999936.0,78.35600000000001,0.8959999999999999,-0.0114,1.652987,USD,75.74,438201984,33189416960.0,Oil & Gas Refining & Marketing,Energy,United States,"Phillips 66 operates as an energy manufacturing and logistics company. It operates through four segments: Midstream, Chemicals, Refining, and Marketing and Specialties (M&S). The Midstream segment transports crude oil and other feedstocks; delivers refined petroleum products to market; provides terminaling and storage services for crude oil and refined petroleum products; transports, stores, fractionates, exports, and markets natural gas liquids; provides other fee-based processing services; and gathers, processes, transports, and markets natural gas. The Chemicals segment produces and markets ethylene and other olefin products; aromatics and styrenics products, such as benzene, cyclohexane, styrene, and polystyrene; and various specialty chemical products, including organosulfur chemicals, solvents, catalysts, and chemicals used in drilling and mining. The Refining segment refines crude oil and other feedstocks into petroleum products comprising gasolines, distillates, and aviation fuels at 13 refineries in the United States and Europe. The M&S segment purchases for resale and markets refined petroleum products consisting of gasolines, distillates, and aviation fuels primarily in the United States and Europe. It also manufactures and markets specialty products, such as base oils and lubricants. The company was founded in 1875 and is headquartered in Houston, Texas.",0.486269458347243,0.24,1.2069432669912703
